scenario,metric,metric_label,decoder1,decoder2,p_raw,p_bonf,significant_0.01
scenario1,exc_average_precision,Exact average precision,deepcell,scaled,0.0,0.0,True
scenario1,exc_average_precision,Exact average precision,nn,scaled,0.0,0.0,True
scenario10,exc_recall_at_max_f1,Exact recall,bardensr,cosine-np,5.551115123125783e-16,5.551115123125783e-15,True
scenario10,exc_recall_at_max_f1,Exact recall,bardensr,deepcell,0.007123983965343084,0.07123983965343084,False
scenario10,exc_recall_at_max_f1,Exact recall,bardensr,nn,6.84096751346619e-06,6.84096751346619e-05,True
scenario10,exc_recall_at_max_f1,Exact recall,bardensr,scaled,0.0,0.0,True
scenario10,exc_recall_at_max_f1,Exact recall,cosine-np,deepcell,4.3043649062823874e-06,4.3043649062823874e-05,True
scenario10,exc_recall_at_max_f1,Exact recall,cosine-np,nn,0.0,0.0,True
scenario10,exc_recall_at_max_f1,Exact recall,cosine-np,scaled,7.582252306237436e-05,0.0007582252306237436,True
scenario10,exc_recall_at_max_f1,Exact recall,deepcell,nn,9.992007221626409e-16,9.992007221626409e-15,True
scenario10,exc_recall_at_max_f1,Exact recall,deepcell,scaled,0.0,0.0,True
scenario10,exc_recall_at_max_f1,Exact recall,nn,scaled,0.0,0.0,True
scenario10,exc_fdr_at_max_f1,Exact FDR,bardensr,cosine-np,0.0,0.0,True
scenario10,exc_fdr_at_max_f1,Exact FDR,bardensr,deepcell,0.004430474906465087,0.04430474906465087,False
scenario10,exc_fdr_at_max_f1,Exact FDR,bardensr,nn,4.440892098500626e-16,4.440892098500626e-15,True
scenario10,exc_fdr_at_max_f1,Exact FDR,bardensr,scaled,0.0,0.0,True
scenario10,exc_fdr_at_max_f1,Exact FDR,cosine-np,deepcell,0.0,0.0,True
scenario10,exc_fdr_at_max_f1,Exact FDR,cosine-np,nn,2.116611304670002e-06,2.116611304670002e-05,True
scenario10,exc_fdr_at_max_f1,Exact FDR,cosine-np,scaled,0.019959884793145255,0.19959884793145255,False
scenario10,exc_fdr_at_max_f1,Exact FDR,deepcell,nn,6.84096751346619e-06,6.84096751346619e-05,True
scenario10,exc_fdr_at_max_f1,Exact FDR,deepcell,scaled,0.0,0.0,True
scenario10,exc_fdr_at_max_f1,Exact FDR,nn,scaled,1.887379141862766e-15,1.887379141862766e-14,True
scenario10,exc_max_f1,Exact F1,bardensr,cosine-np,0.0,0.0,True
scenario10,exc_max_f1,Exact F1,bardensr,deepcell,0.00014007037811680778,0.0014007037811680778,True
scenario10,exc_max_f1,Exact F1,bardensr,nn,0.0022812826421959587,0.022812826421959587,False
scenario10,exc_max_f1,Exact F1,bardensr,scaled,0.0,0.0,True
scenario10,exc_max_f1,Exact F1,cosine-np,deepcell,1.3503781630119782e-05,0.00013503781630119782,True
scenario10,exc_max_f1,Exact F1,cosine-np,nn,0.0,0.0,True
scenario10,exc_max_f1,Exact F1,cosine-np,scaled,7.582252306237436e-05,0.0007582252306237436,True
scenario10,exc_max_f1,Exact F1,deepcell,nn,1.199040866595169e-14,1.199040866595169e-13,True
scenario10,exc_max_f1,Exact F1,deepcell,scaled,0.0,0.0,True
scenario10,exc_max_f1,Exact F1,nn,scaled,0.0,0.0,True
scenario10,max_r,Max Pearson r,bardensr,cosine-np,0.0,0.0,True
scenario10,max_r,Max Pearson r,bardensr,deepcell,0.9418726891147404,1.0,False
scenario10,max_r,Max Pearson r,bardensr,nn,0.06357740413856561,0.6357740413856561,False
scenario10,max_r,Max Pearson r,bardensr,scaled,0.0,0.0,True
