target	RS0015	RS0083	RS0095	RS0109	RS0175	RS0237	RS0247	RS0255	RS0307	RS0332	RS0343	RS0384	RS0406	RS0451	RS0468	RS0548
Raf1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0
Reps1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0
Rorc	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0
Rps6kb1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1
Slc2a1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0
Slc44a4	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Smad2	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
Smpd3	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0
Sp1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Spib	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0
Stat4	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0
Stat6	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Tbx21	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
Zbtb16	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0
Zfp13	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Adamts7	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Adgrg6	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
Ado	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0
Arhgef11	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Atg9b	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0
Baz2b	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0
Brsk1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1
Ckap2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1
Crtc1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Ddx11	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Dis3l	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
Eea1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0
Git1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
Gm996	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0
Gnptab	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
Gprasp1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0
Hecw2	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Itga8	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0
Kdm2b	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0
